fid;grass;human_structure;tree;water;p_grass;p_human_structure;p_tree;p_water;ttl_p;ttl_deg
116;6.80E-09;7.62E-08;1.52E-08;8.90E-09;6.35E-02;7.12E-01;1.42E-01;8.31E-02;1.00E+00;1.07E-07
119;;;1.05E-07;2.07E-09;0.00E+00;0.00E+00;9.81E-01;1.94E-02;1.00E+00;1.07E-07
122;;;9.28E-08;1.43E-08;0.00E+00;0.00E+00;8.66E-01;1.34E-01;1.00E+00;1.07E-07
124;;5.17E-09;4.18E-08;6.02E-08;0.00E+00;4.82E-02;3.90E-01;5.61E-01;1.00E+00;1.07E-07
126;6.00E-09;;7.86E-08;2.25E-08;5.61E-02;0.00E+00;7.34E-01;2.10E-01;1.00E+00;1.07E-07
129;;;2.12E-08;8.58E-08;0.00E+00;0.00E+00;1.98E-01;8.02E-01;1.00E+00;1.07E-07
130;1.30E-08;3.71E-08;4.88E-08;8.27E-09;1.21E-01;3.46E-01;4.55E-01;7.72E-02;1.00E+00;1.07E-07
133;1.00E-08;1.02E-09;7.13E-08;2.48E-08;9.36E-02;9.55E-03;6.65E-01;2.31E-01;1.00E+00;1.07E-07
134;;;1.07E-07;;0.00E+00;0.00E+00;1.00E+00;0.00E+00;1.00E+00;1.07E-07
141;5.54E-08;;3.18E-08;1.98E-08;5.18E-01;0.00E+00;2.97E-01;1.85E-01;1.00E+00;1.07E-07
146;6.48E-10;2.56E-08;4.01E-08;4.08E-08;6.05E-03;2.39E-01;3.74E-01;3.81E-01;1.00E+00;1.07E-07
147;1.69E-08;;5.09E-08;3.93E-08;1.57E-01;0.00E+00;4.75E-01;3.67E-01;1.00E+00;1.07E-07
150;;;6.33E-08;4.42E-08;0.00E+00;0.00E+00;5.89E-01;4.11E-01;1.00E+00;1.08E-07
152;;;2.43E-08;8.30E-08;0.00E+00;0.00E+00;2.26E-01;7.74E-01;1.00E+00;1.07E-07
153;2.31E-09;;6.45E-08;4.03E-08;2.16E-02;0.00E+00;6.02E-01;3.76E-01;1.00E+00;1.07E-07
154;;4.89E-09;3.37E-08;6.84E-08;0.00E+00;4.57E-02;3.15E-01;6.39E-01;1.00E+00;1.07E-07
155;;2.73E-09;7.23E-08;3.20E-08;0.00E+00;2.55E-02;6.76E-01;2.99E-01;1.00E+00;1.07E-07
156;;5.14E-09;4.93E-08;5.26E-08;0.00E+00;4.80E-02;4.61E-01;4.91E-01;1.00E+00;1.07E-07
157;;1.12E-08;5.78E-08;3.81E-08;0.00E+00;1.05E-01;5.39E-01;3.56E-01;1.00E+00;1.07E-07
158;6.91E-10;7.06E-08;3.59E-08;;6.45E-03;6.59E-01;3.35E-01;0.00E+00;1.00E+00;1.07E-07
160;8.62E-09;1.47E-08;8.36E-08;1.04E-10;8.05E-02;1.38E-01;7.81E-01;9.71E-04;1.00E+00;1.07E-07
161;2.72E-08;7.93E-09;2.69E-08;4.50E-08;2.54E-01;7.41E-02;2.51E-01;4.21E-01;1.00E+00;1.07E-07
162;;1.46E-08;7.75E-08;1.50E-08;0.00E+00;1.36E-01;7.24E-01;1.40E-01;1.00E+00;1.07E-07
163;;;9.30E-08;1.41E-08;0.00E+00;0.00E+00;8.68E-01;1.32E-01;1.00E+00;1.07E-07
164;;;7.20E-08;3.51E-08;0.00E+00;0.00E+00;6.73E-01;3.27E-01;1.00E+00;1.07E-07
172;8.46E-09;3.48E-09;4.93E-08;4.58E-08;7.90E-02;3.25E-02;4.60E-01;4.28E-01;1.00E+00;1.07E-07
174;3.20E-08;1.95E-09;1.52E-08;5.80E-08;2.99E-01;1.82E-02;1.41E-01;5.42E-01;1.00E+00;1.07E-07
179;;;6.43E-08;4.28E-08;0.00E+00;0.00E+00;6.00E-01;4.00E-01;1.00E+00;1.07E-07
180;;;5.44E-08;5.27E-08;0.00E+00;0.00E+00;5.08E-01;4.92E-01;1.00E+00;1.07E-07
181;;3.13E-08;5.72E-08;1.84E-08;0.00E+00;2.93E-01;5.35E-01;1.72E-01;1.00E+00;1.07E-07
184;1.61E-08;5.70E-09;3.45E-08;5.08E-08;1.51E-01;5.32E-02;3.22E-01;4.74E-01;1.00E+00;1.07E-07
186;2.38E-08;;4.93E-08;3.40E-08;2.22E-01;0.00E+00;4.61E-01;3.17E-01;1.00E+00;1.07E-07
190;1.44E-08;;5.76E-08;3.49E-08;1.35E-01;0.00E+00;5.39E-01;3.26E-01;1.00E+00;1.07E-07
192;1.52E-08;;6.78E-08;2.42E-08;1.42E-01;0.00E+00;6.33E-01;2.26E-01;1.00E+00;1.07E-07
195;1.76E-08;;4.65E-08;4.30E-08;1.64E-01;0.00E+00;4.34E-01;4.01E-01;1.00E+00;1.07E-07
197;3.37E-08;;1.15E-08;6.19E-08;3.15E-01;0.00E+00;1.07E-01;5.78E-01;1.00E+00;1.07E-07
198;5.79E-08;;2.42E-08;2.50E-08;5.41E-01;0.00E+00;2.26E-01;2.33E-01;1.00E+00;1.07E-07
203;1.61E-08;1.64E-08;2.85E-08;4.63E-08;1.50E-01;1.53E-01;2.66E-01;4.31E-01;1.00E+00;1.07E-07
207;1.35E-08;4.72E-08;3.86E-08;7.76E-09;1.26E-01;4.41E-01;3.61E-01;7.25E-02;1.00E+00;1.07E-07
209;9.99E-09;2.89E-08;2.88E-08;3.95E-08;9.32E-02;2.70E-01;2.69E-01;3.68E-01;1.00E+00;1.07E-07
211;;5.36E-08;2.99E-08;2.36E-08;0.00E+00;5.00E-01;2.79E-01;2.20E-01;1.00E+00;1.07E-07
212;;8.83E-09;5.52E-08;4.32E-08;0.00E+00;8.24E-02;5.15E-01;4.03E-01;1.00E+00;1.07E-07
220;2.42E-08;;2.44E-08;5.85E-08;2.26E-01;0.00E+00;2.28E-01;5.46E-01;1.00E+00;1.07E-07
221;4.11E-08;;3.47E-08;3.13E-08;3.84E-01;0.00E+00;3.24E-01;2.92E-01;1.00E+00;1.07E-07
222;2.68E-09;4.22E-08;1.95E-08;4.29E-08;2.50E-02;3.94E-01;1.81E-01;4.00E-01;1.00E+00;1.07E-07
223;;4.88E-08;3.69E-08;2.15E-08;0.00E+00;4.55E-01;3.44E-01;2.01E-01;1.00E+00;1.07E-07
226;3.12E-08;5.88E-08;7.57E-09;9.72E-09;2.91E-01;5.48E-01;7.06E-02;9.06E-02;1.00E+00;1.07E-07
