fid;grass;human_structure;tree;water;p_grass;p_human_structure;p_tree;p_water;ttl
5;;5.34E-10;2.51E-08;2.22E-09;0.00E+00;1.91E-02;9.01E-01;7.94E-02;1.00E+00
124;;;9.92E-09;1.80E-08;0.00E+00;0.00E+00;3.56E-01;6.44E-01;1.00E+00
133;3.34E-09;;2.36E-08;9.04E-10;1.20E-01;0.00E+00;8.48E-01;3.24E-02;1.00E+00
197;1.82E-08;;;9.65E-09;6.54E-01;0.00E+00;0.00E+00;3.46E-01;1.00E+00
23;;1.47E-08;;1.33E-08;0.00E+00;5.24E-01;0.00E+00;4.76E-01;1.00E+00
160;;7.01E-09;2.09E-08;;0.00E+00;2.51E-01;7.49E-01;0.00E+00;1.00E+00
53;;;2.79E-08;;0.00E+00;0.00E+00;1.00E+00;0.00E+00;1.00E+00
181;;2.84E-09;2.51E-08;;0.00E+00;1.02E-01;8.98E-01;0.00E+00;1.00E+00
126;;;2.79E-08;2.84E-11;0.00E+00;0.00E+00;9.99E-01;1.02E-03;1.00E+00
190;1.47E-10;;2.62E-08;1.51E-09;5.26E-03;0.00E+00;9.41E-01;5.41E-02;1.00E+00
80;1.00E-09;8.44E-09;1.84E-08;2.57E-10;3.56E-02;3.01E-01;6.55E-01;9.16E-03;1.00E+00
25;;2.74E-08;;4.40E-10;0.00E+00;9.84E-01;0.00E+00;1.58E-02;1.00E+00
153;1.35E-09;;1.81E-08;8.39E-09;4.83E-02;0.00E+00;6.51E-01;3.01E-01;1.00E+00
55;;;1.88E-08;9.12E-09;0.00E+00;0.00E+00;6.74E-01;3.26E-01;1.00E+00
174;1.33E-08;;4.61E-10;1.41E-08;4.79E-01;0.00E+00;1.66E-02;5.05E-01;1.00E+00
119;;;2.79E-08;;0.00E+00;0.00E+00;1.00E+00;0.00E+00;1.00E+00
73;;;1.84E-08;9.49E-09;0.00E+00;0.00E+00;6.60E-01;3.40E-01;1.00E+00
192;3.13E-09;;2.42E-08;5.76E-10;1.12E-01;0.00E+00;8.67E-01;2.07E-02;1.00E+00
18;5.50E-09;1.57E-08;5.35E-09;1.31E-09;1.97E-01;5.64E-01;1.92E-01;4.71E-02;1.00E+00
82;1.88E-08;;;9.08E-09;6.74E-01;0.00E+00;0.00E+00;3.26E-01;1.00E+00
146;;8.27E-09;1.40E-08;5.63E-09;0.00E+00;2.97E-01;5.02E-01;2.02E-01;1.00E+00
39;2.52E-09;;1.84E-08;7.90E-09;8.76E-02;0.00E+00;6.38E-01;2.74E-01;1.00E+00
103;9.62E-11;;2.76E-08;2.33E-10;3.45E-03;0.00E+00;9.88E-01;8.35E-03;1.00E+00
11;;;2.17E-08;6.04E-09;0.00E+00;0.00E+00;7.83E-01;2.17E-01;1.00E+00
130;1.04E-09;3.31E-09;2.12E-08;2.31E-09;3.73E-02;1.19E-01;7.61E-01;8.28E-02;1.00E+00
75;8.02E-09;;1.74E-08;2.46E-09;2.88E-01;0.00E+00;6.24E-01;8.83E-02;1.00E+00
203;4.54E-09;2.48E-09;1.09E-08;9.92E-09;1.63E-01;8.89E-02;3.92E-01;3.56E-01;1.00E+00
105;;3.52E-09;1.66E-08;7.81E-09;0.00E+00;1.26E-01;5.94E-01;2.80E-01;1.00E+00
50;1.49E-08;;;1.30E-08;5.34E-01;0.00E+00;0.00E+00;4.66E-01;1.00E+00
98;;;1.52E-08;1.27E-08;0.00E+00;0.00E+00;5.44E-01;4.56E-01;1.00E+00
162;;2.16E-09;2.57E-08;;0.00E+00;7.73E-02;9.23E-01;0.00E+00;1.00E+00
107;1.17E-13;;2.30E-08;4.91E-09;4.20E-06;0.00E+00;8.24E-01;1.76E-01;1.00E+00
226;1.25E-08;1.07E-08;;4.71E-09;4.48E-01;3.83E-01;0.00E+00;1.69E-01;1.00E+00
52;;1.07E-08;9.76E-11;1.70E-08;0.00E+00;3.85E-01;3.50E-03;6.11E-01;1.00E+00
116;2.73E-09;1.84E-08;3.16E-09;3.60E-09;9.80E-02;6.60E-01;1.13E-01;1.29E-01;1.00E+00
180;;;2.51E-08;2.82E-09;0.00E+00;0.00E+00;8.99E-01;1.01E-01;1.00E+00
134;;;2.79E-08;;0.00E+00;0.00E+00;1.00E+00;0.00E+00;1.00E+00
198;2.36E-08;;2.27E-09;2.00E-09;8.47E-01;0.00E+00;8.15E-02;7.16E-02;1.00E+00
155;;2.20E-09;2.34E-08;2.32E-09;0.00E+00;7.89E-02;8.38E-01;8.32E-02;1.00E+00
100;;;1.01E-08;1.77E-08;0.00E+00;0.00E+00;3.64E-01;6.36E-01;1.00E+00
45;2.53E-08;;;2.62E-09;9.06E-01;0.00E+00;0.00E+00;9.40E-02;1.00E+00
164;;;2.20E-08;5.89E-09;0.00E+00;0.00E+00;7.89E-01;2.11E-01;1.00E+00
54;;1.02E-08;1.63E-08;1.43E-09;0.00E+00;3.64E-01;5.84E-01;5.14E-02;1.00E+00
